OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
6249572,506745728,ALL STAR AUTOMOBILE GLASS,N B ST,GRANGEVILLE,ID,Idaho,83530,1106,44419031,523110,383,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
12668406,900789678,GRANGEVILLE GLASS CO,N STATE ST,GRANGEVILLE,ID,Idaho,83530,1646,44419031,523110,383,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
12053202,806018883,ACE HOME CTR,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2233,44413005,525104,893,2,2448694,,9,1,,2,PointAddress,M,100,INFOGROUP,0
2655376,404143983,LARSON'S DEPARTMENT STORE,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1931,45221001,531102,391,,0,,4,,,3,PointAddress,M,100,INFOGROUP,0
11700372,737284979,FAMILY DOLLAR STORE,S E ST,GRANGEVILLE,ID,Idaho,83530,1319,45231912,533101,846,2,678851924,2,5,E,,4,PointAddress,M,100,INFOGROUP,0
5218686,435896740,PRIMELAND COUNTRY STORE,N A ST,GRANGEVILLE,ID,Idaho,83530,,45231906,539901,192,,0,,2,,,2,StreetAddress,M,100,INFOGROUP,0
13022414,980120554,CZT,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,5192,44512001,541103,2651,,0,,20,,,1,PointAddress,M,100,INFOGROUP,0
728308,167189521,ASKER'S HARVEST FOODS,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1446,44511003,541105,5831,2,708846662,,44,,,6,PointAddress,M,100,INFOGROUP,0
2085976,400475311,JIM'S MARKET INC,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2236,44511003,541105,5301,,0,,40,,,6,PointAddress,M,100,INFOGROUP,0
12862351,958056483,HEALTH FOOD STORE,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1901,44619103,549901,107,,0,,2,,,2,PointAddress,M,100,INFOGROUP,0
728310,167189596,PARTSWAY INC,N D ST,GRANGEVILLE,ID,Idaho,83530,1134,44131011,553111,952,,0,,9,5,,2,PointAddress,M,100,INFOGROUP,0
5554055,439787220,PARTSWAY INC,,GRANGEVILLE,ID,Idaho,83530,,44131011,553111,318,,0,,3,,,1,Postal,M,100,INFOGROUP,1
8614696,708979450,NORCO INC,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1917,44131011,553111,318,,0,,3,,,1,PointAddress,M,100,INFOGROUP,0
18434,2356285,LES SCHWAB,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2239,44132001,553123,1691,2,4616694,,16,L,,3,PointAddress,M,100,INFOGROUP,0
